start_nid,end_nid,link_type,length,lanes,maxspeed,geometry,maxmph,fft,link_id
1895,1876,residential,5.441,1,25,"LINESTRING(-122.253437 37.7776857, -122.25325396666666 37.777606633333335)",25,0.48695090118085765,0
1876,1895,residential,5.441,1,25,"LINESTRING(-122.25325396666666 37.777606633333335, -122.253437 37.7776857)",25,0.48695090118085765,1
1996,1790,tertiary,6.114,1,25,"LINESTRING(-122.2354036 37.767025, -122.235267575 37.7671881)",25,0.5471821006836545,2
1790,1996,tertiary,6.114,1,25,"LINESTRING(-122.235267575 37.7671881, -122.2354036 37.767025)",25,0.5471821006836545,3
1875,1764,unclassified,7.621,1,25,"LINESTRING(-122.2768596 37.7708199, -122.276897675 37.770928575)",25,0.6820534493474208,4
1892,1891,primary,9.477,1,25,"LINESTRING(-122.2766139 37.777984, -122.27662531428572 37.7776467)",25,0.8481591050341828,5
1891,1892,primary,9.477,1,25,"LINESTRING(-122.27662531428572 37.7776467, -122.2766139 37.777984)",25,0.8481591050341828,6
1838,1843,service,18.845,1,25,"LINESTRING(-122.24951645 37.7571024, -122.2492651999999964 37.7569905000000006, -122.2492536000000030 37.7569716000000000, -122.2492491000000001 37.7569481000000025, -122.2492949 37.756872)",25,1.6865630826600373,8
2074,1986,service,19.515,1,25,"LINESTRING(-122.2390785 37.76883543333333, -122.2391949999999952 37.7688808999999992, -122.23930150000001 37.76903553333333)",25,1.746525792417651,9
1986,2074,service,19.515,1,25,"LINESTRING(-122.23930150000001 37.76903553333333, -122.2392908000000062 37.7689343999999991, -122.2390785 37.76883543333333)",25,1.746525792417651,10
1999,1823,service,19.577,1,25,"LINESTRING(-122.2440177 37.7624133, -122.24398485 37.7622344)",25,1.7520745804847733,11
1823,1999,service,19.577,1,25,"LINESTRING(-122.24398485 37.7622344, -122.2440177 37.7624133)",25,1.7520745804847733,12
1497,1494,residential,20.032,1,25,"LINESTRING(-122.2818781 37.7873866, -122.2818835 37.7872065)",25,1.7927955251709138,13
1494,1497,residential,20.032,1,25,"LINESTRING(-122.2818835 37.7872065, -122.2818781 37.7873866)",25,1.7927955251709138,14
1510,1500,residential,20.061,1,25,"LINESTRING(-122.2815413 37.7890755, -122.2817695 37.7890805)",25,1.7953909260410192,15
1500,1510,residential,20.061,1,25,"LINESTRING(-122.2817695 37.7890805, -122.2815413 37.7890755)",25,1.7953909260410192,16
1813,831,residential,20.152,1,25,"LINESTRING(-122.29040405 37.7844315, -122.2903998 37.7846338)",25,1.8035351149782475,17
831,1813,residential,20.152,1,25,"LINESTRING(-122.2903998 37.7846338, -122.29040405 37.7844315)",25,1.8035351149782475,18
2067,1528,secondary,20.173000000000002,1,25,"LINESTRING(-122.24259380000001 37.76720615, -122.2428794 37.7673257)",25,1.805414543194531,19
1528,2067,secondary,20.173000000000002,1,25,"LINESTRING(-122.2428794 37.7673257, -122.24259380000001 37.76720615)",25,1.805414543194531,20
286,678,primary,20.191,1,25,"LINESTRING(-122.2431695 37.7619309, -122.2429843 37.7618235)",25,1.8070254816656308,21
678,286,primary,20.191,1,25,"LINESTRING(-122.2429843 37.7618235, -122.2431695 37.7619309)",25,1.8070254816656308,22
70,1932,tertiary,20.27,1,25,"LINESTRING(-122.2794805 37.7715025, -122.279854 37.771512066666666)",25,1.8140957116221255,23
1932,70,tertiary,20.27,1,25,"LINESTRING(-122.279854 37.771512066666666, -122.2794805 37.7715025)",25,1.8140957116221255,24
1864,1862,service,20.358,1,25,"LINESTRING(-122.29175035 37.77110315, -122.29178110000001 37.7707681)",25,1.8219714108141705,25
1862,1864,service,20.358,1,25,"LINESTRING(-122.29178110000001 37.7707681, -122.29175035 37.77110315)",25,1.8219714108141705,26
1552,1955,service,20.365,1,25,"LINESTRING(-122.2769138 37.7901235, -122.27668464999999 37.79022795)",25,1.8225978868862647,27
1955,1552,service,20.365,1,25,"LINESTRING(-122.27668464999999 37.79022795, -122.2769138 37.7901235)",25,1.8225978868862647,28
1845,943,service,20.369,1,25,"LINESTRING(-122.25096761666667 37.75852798333333, -122.2506518 37.7582977)",25,1.8229558732131759,29
943,1845,service,20.369,1,25,"LINESTRING(-122.2506518 37.7582977, -122.25096761666667 37.75852798333333)",25,1.8229558732131759,30
1898,1900,unclassified,20.381,2,25,"LINESTRING(-122.30067125 37.788285825, -122.3006153 37.7879468)",25,1.8240298321939092,31
1900,1898,unclassified,20.381,2,25,"LINESTRING(-122.3006153 37.7879468, -122.30067125 37.788285825)",25,1.8240298321939092,32
1886,1071,secondary,20.401,1,25,"LINESTRING(-122.24444285 37.76211503333334, -122.2444524000000001 37.7622883000000016, -122.2443823 37.7623705)",25,1.825819763828465,33
1071,1886,secondary,20.401,1,25,"LINESTRING(-122.2443823 37.7623705, -122.2444339999999983 37.7623097999999970, -122.24444285 37.76211503333334)",25,1.825819763828465,34
1158,1201,service,20.407,1,25,"LINESTRING(-122.2723002 37.7859355, -122.2722755000000063 37.7858687000000018, -122.272339 37.7857689)",25,1.8263567433188317,35
1201,1158,service,20.407,1,25,"LINESTRING(-122.272339 37.7857689, -122.2722954999999985 37.7858123000000035, -122.2723002 37.7859355)",25,1.8263567433188317,36
1992,2067,service,20.419,1,25,"LINESTRING(-122.24251715 37.7674645, -122.24259380000001 37.76720615)",25,1.827430702299565,37
2067,1992,service,20.419,1,25,"LINESTRING(-122.24259380000001 37.76720615, -122.24251715 37.7674645)",25,1.827430702299565,38
491,613,residential,20.435,1,25,"LINESTRING(-122.2557437 37.7641806, -122.255853 37.7640184)",25,1.8288626476072094,39
613,491,residential,20.435,1,25,"LINESTRING(-122.255853 37.7640184, -122.2557437 37.7641806)",25,1.8288626476072094,40
1934,1306,service,20.517,1,25,"LINESTRING(-122.29127825 37.7789944, -122.29152 37.7790859)",25,1.8362013673088875,41
1306,1934,service,20.517,1,25,"LINESTRING(-122.29152 37.7790859, -122.29127825 37.7789944)",25,1.8362013673088875,42
1718,1245,service,20.548,1,25,"LINESTRING(-122.3097839 37.782789, -122.3095506 37.7827767)",25,1.8389757613424487,43
1245,1718,service,20.548,1,25,"LINESTRING(-122.3095506 37.7827767, -122.3097839 37.782789)",25,1.8389757613424487,44
1208,1207,service,20.573,1,25,"LINESTRING(-122.2751136 37.7762111, -122.2751171 37.7763961)",25,1.8412131758856434,45
1207,1208,service,20.573,1,25,"LINESTRING(-122.2751171 37.7763961, -122.2751136 37.7762111)",25,1.8412131758856434,46
1554,1344,tertiary,20.598,3,25,"LINESTRING(-122.2626016 37.7767991, -122.2627473000000009 37.7768078000000003, -122.2628353 37.776813)",25,1.8434505904288379,47
