agent_id,origin_nid,destin_nid,hour,quarter
0,1097,1097,0,0
1,601,601,0,0
2,365,365,0,0
3,569,569,0,0
4,569,569,0,0
5,569,569,0,0
6,364,364,0,0
7,569,569,0,0
8,364,364,0,0
9,364,364,0,0
10,601,601,0,0
11,365,365,0,0
12,365,365,0,0
13,601,601,0,0
14,601,601,0,0
15,660,660,0,0
16,234,234,0,0
17,601,601,0,0
18,235,235,0,0
19,660,660,0,0
20,660,660,0,0
21,660,660,0,0
22,365,365,0,0
23,235,235,0,0
24,660,660,0,0
25,601,601,0,0
26,235,235,0,0
27,235,235,0,0
28,235,235,0,0
29,601,601,0,0
30,601,601,0,0
31,601,601,0,0
32,601,601,0,0
33,601,601,0,0
34,601,601,0,0
35,601,601,0,0
36,365,365,0,0
37,234,234,0,0
38,234,234,0,0
39,234,234,0,0
40,95,95,0,0
41,235,235,0,0
42,366,366,0,0
43,404,404,0,0
44,366,366,0,0
45,95,95,0,0
46,235,235,0,0
47,235,235,0,0
48,235,235,0,0
49,235,235,0,0
50,95,95,0,0
51,404,404,0,0
52,404,404,0,0
53,234,234,0,0
54,404,404,0,0
55,404,404,0,0
56,95,95,0,0
57,404,404,0,0
58,404,404,0,0
59,234,234,0,0
60,404,404,0,0
61,95,95,0,0
62,404,404,0,0
63,95,95,0,0
64,404,404,0,0
65,404,404,0,0
66,234,234,0,0
67,404,404,0,0
68,1150,1150,0,0
69,1150,1150,0,0
70,699,699,0,0
71,1150,1150,0,0
72,1150,1150,0,0
73,1149,1149,0,0
74,404,404,0,0
75,403,403,0,0
76,1150,1150,0,0
77,403,403,0,0
78,1150,1150,0,0
79,403,403,0,0
80,1150,1150,0,0
81,403,403,0,0
82,699,699,0,0
83,1150,1150,0,0
84,699,699,0,0
85,404,404,0,0
86,1150,1150,0,0
87,404,404,0,0
88,1149,1149,0,0
89,1150,1150,0,0
90,1149,1149,0,0
91,1150,1150,0,0
92,1150,1150,0,0
93,404,404,0,0
94,404,404,0,0
95,403,403,0,0
96,1150,1150,0,0
97,403,403,0,0
98,1150,1150,0,0
99,1150,1150,0,0
100,1150,1150,0,0
101,403,403,0,0
102,403,403,0,0
